protein name	proximity to Covid-19	shortest path to Covid-19	path length
FDPS	0.003359938943814589	FDPS, MOV10, covid-19	2
TGFB1	0.0943480203013998	TGFB1, IMPDH2, covid-19	2
FASN	-0.09201325577002469	FASN, RIPK1, covid-19	2
FTL	-0.09914295709693555	FTL, CEP250, covid-19	2
FGA	-0.010523539981177145	FGA, PRKACA, covid-19	2
NR3C1	-0.00032117614290087804	NR3C1, HDAC2, covid-19	2
MAP4K2	0.03013197654926368	MAP4K2, RAB8A, covid-19	2
HSPA5	-0.13990296464000768	HSPA5, RIPK1, covid-19	2
SLC2A2	-0.023199694429175542	SLC2A2, PRKACA, covid-19	2
GRIK2	-0.036186943815109035	GRIK2, PRKACA, covid-19	2
GRIK1	-0.016362248566766074	GRIK1, L-Glutamic Acid, AASS, covid-19	3
LIMK1	-0.051614942058419766	LIMK1, PRKACA, covid-19	2
HSPG2	-0.125814693778321	HSPG2, FBN1, covid-19	2
P4HA2	0.035090321526252036	P4HA2, EIF4E2, covid-19	2
C1QBP	0.16521416494566837	C1QBP, AAR2, covid-19	2
GANAB	0.03833313367119798	GANAB, CSNK2A2, covid-19	2
PSMA3	-0.018870326663973327	PSMA3, HDAC2, covid-19	2
PTK2	0.07704212670310107	PTK2, RIPK1, covid-19	2
IL1A	0.043347471335469324	IL1A, CAPN1, BZW2, covid-19	3
JAK2	-0.04256519495286304	JAK2, G3BP1, covid-19	2
KRT8	-0.08336985037224506	KRT8, HDAC2, covid-19	2
BCL2	-0.06746730907403126	BCL2, PRKACA, covid-19	2
BECN1	-0.04651403909628468	BECN1, MDN1, covid-19	2
NFKB1	-0.10203069971563014	NFKB1, HDAC2, covid-19	2
ALOX5	-0.10841291981879402	ALOX5, PRKACA, covid-19	2
NCF4	0.09855536407479584	NCF4, dextromethorphan, SIGMAR1, covid-19	3
LEF1	0.12968363457676657	LEF1, TLE1, covid-19	2
PRKACB	0.04071017311790928	PRKACB, CSNK2A2, covid-19	2
SNCA	-0.09060144116350999	SNCA, CSNK2A2, covid-19	2
RELA	-0.04715034590835882	RELA, HDAC2, covid-19	2
FOS	0.027544408809186818	FOS, CSNK2A2, covid-19	2
FEN1	0.06710857365873343	FEN1, CHPF2, covid-19	2
AKT1	-0.14800286198938833	AKT1, CSNK2A2, covid-19	2
FLT1	0.00920658655177617	FLT1, fostamatinib, RIPK1, covid-19	3
OPRD1	0.06036453673897196	OPRD1, dextromethorphan, SIGMAR1, covid-19	3
PDE6D	-0.15360141126517812	PDE6D, DNAJC11, covid-19	2
RHOB	0.08815057081937204	RHOB, CIT, covid-19	2
PAM	0.015167962889958982	PAM, Vitamin C, PLOD2, covid-19	3
PPARA	-0.028776897072064378	PPARA, CEP350, covid-19	2
PIK3R3	-0.09478796271174475	PIK3R3, STAT3, DNMT1, covid-19	3
PIK3CA	-0.06955213828898862	PIK3CA, GNB1, covid-19	2
PGD	0.041705209197330104	PGD, ARF6, covid-19	2
SELP	0.07862001079923826	SELP, GATA2, GOLGA2, covid-19	3
PRKD2	-0.05454691281632034	PRKD2, MARK2, covid-19	2
KCNA4	0.056447874276513196	KCNA4, PRKACA, covid-19	2
FER	-0.029932859729167788	FER, fostamatinib, RIPK1, covid-19	3
MAPK1	-0.17242269883071593	MAPK1, CSNK2A2, covid-19	2
NEK2	-0.0011953202920825506	NEK2, CEP250, covid-19	2
PDPK1	-0.0673674082022501	PDPK1, PRKACA, covid-19	2
PRKCZ	-0.11867628294093863	PRKCZ, MARK3, covid-19	2
RXRA	-0.11086039813938198	RXRA, PRKACA, covid-19	2
CLU	-0.048646691767744825	CLU, HYOU1, covid-19	2
TGFBR2	0.14906500896194974	TGFBR2, ATP6V1A, covid-19	2
SIVA1	0.03849649056878339	SIVA1, APP, EIF4E2, covid-19	3
FKBP1A	0.02032377736911925	FKBP1A, AAR2, covid-19	2
TGFBR1	-0.07355165527825593	TGFBR1, NEK9, covid-19	2
ATM	-0.17438658747750357	ATM, AATF, covid-19	2
ABL1	0.05867968619927348	ABL1, GPX1, covid-19	2
NTRK1	0.007679455131307921	NTRK1, POLA1, covid-19	2
FES	0.22176630479423803	FES, CEP68, covid-19	2
SRC	-0.08680487407649921	SRC, CSNK2A2, covid-19	2
EPHB2	-0.12827221998754273	EPHB2, fostamatinib, RIPK1, covid-19	3
TNNI3	-0.0580097190200792	TNNI3, PRKACA, covid-19	2
TP53	-0.13295440937202588	TP53, POLA1, covid-19	2
PSMD2	-0.07353062474977651	PSMD2, HMOX1, covid-19	2
DDR2	0.025217989291406465	DDR2, fostamatinib, RIPK1, covid-19	3
ITGA4	0.01290208763490188	ITGA4, PRKACA, covid-19	2
LIG3	0.04811838347604374	LIG3, MOV10, covid-19	2
AGTR2	-0.08382570863879538	AGTR2, ZBTB16, HDAC2, covid-19	3
PRKCI	-0.11586491332776183	PRKCI, MARK3, covid-19	2
BMX	0.024358329702194904	BMX, fostamatinib, RIPK1, covid-19	3
CASK	-0.0007898993239413982	CASK, MARK2, covid-19	2
LRP2	-0.06181337644049813	LRP2, RHOA, covid-19	2
ERBB4	-0.0048729418667441335	ERBB4, RNF41, covid-19	2
RAB9A	-0.0370129308344563	RAB9A, ATP6V1A, covid-19	2
DMD	0.009471543349823643	DMD, MARK2, covid-19	2
F8	-0.05894492816032335	F8, DB00055, GGCX, covid-19	3
PHYH	-0.13904463132960054	PHYH, Vitamin C, PLOD2, covid-19	3
ASS1	0.05746975609142457	ASS1, AAR2, covid-19	2
MAP2K2	-0.07364669653147275	MAP2K2, MEPCE, covid-19	2
POLA1	0.20462508010171682	POLA1, covid-19	1
HTR2C	-0.12988417897028334	HTR2C, ALG8, covid-19	2
AR	-0.08359198592436295	AR, IDE, covid-19	2
NR2C2	-0.10595817137947248	NR2C2, HDAC2, covid-19	2
PAK6	-0.0032051173985549603	PAK6, fostamatinib, RIPK1, covid-19	3
BCL2L1	0.03644277996656364	BCL2L1, AP2M1, covid-19	2
ABCA1	0.14663986977742904	ABCA1, CSNK2A2, covid-19	2
PDE4D	-0.019586544335198033	PDE4D, PRKACA, covid-19	2
HNF4A	0.06241344517452568	HNF4A, PRKACA, covid-19	2
JAK3	-0.06446699236426334	JAK3, fostamatinib, RIPK1, covid-19	3
MAPK14	0.02835856920844407	MAPK14, CSNK2A2, covid-19	2
PSMB5	-0.06678456429660337	PSMB5, LARP7, covid-19	2
S100A7	0.012746129695171353	S100A7, PDE4DIP, covid-19	2
KCNJ4	0.0010079660091527262	KCNJ4, DLGAP5, GOLGA2, covid-19	3
EPHB1	-0.0765734395617493	EPHB1, SLC9A3R1, covid-19	2
MINK1	0.0693370651562762	MINK1, fostamatinib, RIPK1, covid-19	3
S100P	-0.13683642368405985	S100P, KRAS, RAP1GDS1, covid-19	3
BMPR2	0.00260366399330568	BMPR2, PMPCA, covid-19	2
UGCG	0.0072520771611254975	UGCG, APP, EIF4E2, covid-19	3
LSM6	-0.04351321019918612	LSM6, CWC27, covid-19	2
ABCC2	0.056955765742905784	ABCC2, NDUFB9, covid-19	2
PTK2B	-0.08158412147339036	PTK2B, ITGB1, covid-19	2
MTOR	-0.11807353201057841	MTOR, GNB1, covid-19	2
ESR2	-0.022380331171152908	ESR2, HDAC2, covid-19	2
PPARG	-0.13580817626989083	PPARG, BAG5, covid-19	2
HSPA8	-0.10993888435796503	HSPA8, RIPK1, covid-19	2
PGR	0.05405374984442839	PGR, CSNK2A2, covid-19	2
THRB	-0.14912553936658002	THRB, HDAC2, covid-19	2
PTK6	0.0537999478093931	PTK6, fostamatinib, RIPK1, covid-19	3
PSMB1	-0.06316920148207089	PSMB1, LARP7, covid-19	2
RNASE1	-0.09446371880495263	RNASE1, CIT, covid-19	2
RAC2	0.040846245091877224	RAC2, RAP1GDS1, covid-19	2
TRPV1	-0.0063464231374280415	TRPV1, PRKACA, covid-19	2
CFTR	0.025241782068897198	CFTR, HDAC2, covid-19	2
NR0B1	0.07916737418242872	NR0B1, ESR1, AKAP8, covid-19	3
MAP3K3	-0.13271543895888543	MAP3K3, RIPK1, covid-19	2
MAP2K5	0.10755733859734122	MAP2K5, GOLGB1, covid-19	2
ASIC3	-0.08571138932057566	ASIC3, PRKACA, covid-19	2
NR1H4	-0.04293246805301898	NR1H4, EP300, NUP98, covid-19	3
PRKAB1	-0.13597085482648827	PRKAB1, CYB5R3, covid-19	2
PRKAG1	-0.08222551657025202	PRKAG1, fostamatinib, RIPK1, covid-19	3
PRKAG2	-0.11245774226613983	PRKAG2, fostamatinib, RIPK1, covid-19	3
PRKAB2	-0.13397653318665892	PRKAB2, CSNK2B, covid-19	2
DNMT3A	0.1417466337058989	DNMT3A, DNMT1, covid-19	2
MAPK10	-0.06935638472992109	MAPK10, IMPDH2, covid-19	2
MAPK11	0.14170986917473896	MAPK11, PML, HDAC2, covid-19	3
HDAC3	0.02932400981254124	HDAC3, HDAC2, covid-19	2
POLE2	0.051694394324754776	POLE2, POLA1, covid-19	2
TLR4	0.2383067158211615	TLR4, TBK1, covid-19	2
MCL1	-0.04109692104532437	MCL1, USP13, covid-19	2
BIRC5	-0.010953878051866692	BIRC5, PRKACA, covid-19	2
AURKB	0.09278706246079431	AURKB, MARK2, covid-19	2
RIPK1	0.1302623332640667	RIPK1, covid-19	1
SLC22A4	0.047644570009238864	SLC22A4, SLC9A3R1, covid-19	2
SLC22A12	0.04573960981632363	SLC22A12, sulfinpyrazone, ABCC1, covid-19	3
GSK3B	-0.08391729554641598	GSK3B, PRKACA, covid-19	2
SYTL4	0.07315983596258303	SYTL4, RAB8A, covid-19	2
STK16	-0.045650649954547776	STK16, CSNK2B, covid-19	2
NAGK	0.07043877422924669	NAGK, FGFR1OP, covid-19	2
KCNJ1	0.030220231275582467	KCNJ1, GOLGA3, covid-19	2
P4HB	-0.051139133690001434	P4HB, CSNK2A2, covid-19	2
HDAC2	0.04798738783136299	HDAC2, covid-19	1
TLR9	0.10089810849190123	TLR9, TBK1, covid-19	2
TNK2	0.003600957360301707	TNK2, fostamatinib, RIPK1, covid-19	3
RARA	0.11236313233749615	RARA, HDAC2, covid-19	2
ATF4	-0.12107493233590039	ATF4, GCC1, covid-19	2
NCOA2	-0.11216045176306194	NCOA2, TBK1, covid-19	2
MT-ND1	-0.018647522372628497	MT-ND1, NDUFB9, covid-19	2
MT2A	-0.001007334715356592	MT2A, ARF6, covid-19	2
PRKD1	0.026457350450560975	PRKD1, MARK2, covid-19	2
NPR1	-0.12840715706104766	NPR1, PRKACA, covid-19	2
MT-ND2	-0.06301614266020852	MT-ND2, NDUFB9, covid-19	2
KCNG2	0.004423537393675473	KCNG2, dalfampridine, KCNA4, NEU1, covid-19	4
KCNB1	-0.034572805715779864	KCNB1, STX1A, VPS11, covid-19	3
GRIA1	0.005145671444212692	GRIA1, PRKACA, covid-19	2
PKD2L1	-0.03456816717711847	PKD2L1, TNNI3, PRKACA, covid-19	3
TNNI3K	0.09740297028554908	TNNI3K, fostamatinib, RIPK1, covid-19	3
TLK1	-0.01960595605639881	TLK1, fostamatinib, RIPK1, covid-19	3
NEK9	0.10670893959373265	NEK9, covid-19	1
POLE	-0.06064901623997039	POLE, POLA1, covid-19	2
SLC29A1	0.03999361351245448	SLC29A1, fostamatinib, RIPK1, covid-19	3
HM13	-0.046683494345668076	HM13, STOM, covid-19	2
CSNK2A2	0.08291151715120362	CSNK2A2, covid-19	1
LYN	0.013713977756200008	LYN, ACSL3, covid-19	2
FGFR3	-0.03315472209246288	FGFR3, POLA2, covid-19	2
QPRT	-0.07884192167593371	QPRT, TLE1, covid-19	2
SULT1E1	-0.22990328416219932	SULT1E1, EEF1A1, NEU1, covid-19	3
CBS	-0.0019454420286932408	CBS, AAR2, covid-19	2
STK24	-0.18348925361972976	STK24, PRKACA, covid-19	2
GSTM3	-0.03262573513186921	GSTM3, AAR2, covid-19	2
SLC25A6	0.07582937887223166	SLC25A6, AAR2, covid-19	2
PLOD3	0.03778803454342696	PLOD3, COLGALT1, covid-19	2
PDCD6	-0.04580335474005512	PDCD6, AAR2, covid-19	2
ACY1	0.01737633232631045	ACY1, APP, EIF4E2, covid-19	3
NT5C2	-0.11683797708626247	NT5C2, IMPDH2, covid-19	2
PSMA1	-0.07903657296910996	PSMA1, EXOSC5, covid-19	2
SRPK2	0.009472505993538466	SRPK2, GGCX, covid-19	2
PDE9A	-0.22822367685675643	PDE9A, LMO2, GOLGA2, covid-19	3
PAICS	-0.05966601819627895	PAICS, ABCC1, covid-19	2
GAD1	-0.03375231387758221	GAD1, PRKACA, covid-19	2
COMT	0.13980294838946064	COMT, covid-19	1
XIAP	-0.04851803070122711	XIAP, RIPK1, covid-19	2
SLC9A1	-0.042777721896035875	SLC9A1, ALDOA, CUL2, covid-19	3
S100A1	0.04746612744162844	S100A1, PLEKHF2, covid-19	2
PPP2CA	-0.08471890808869796	PPP2CA, POLA1, covid-19	2
TFF1	0.10915817204515216	TFF1, TSG101, RNF41, covid-19	3
NDUFB1	-0.029854026301886962	NDUFB1, NDUFB9, covid-19	2
GNMT	0.04742650619198477	GNMT, PRKACA, covid-19	2
GABRD	-0.013020182320222326	GABRD, Dehydroepiandrosterone, SIGMAR1, covid-19	3
SDSL	0.01899476505427608	SDSL, NIF3L1, DCTPP1, covid-19	3
JUP	0.22262405853889866	JUP, PLOD2, covid-19	2
AKR1C3	-0.17249062545894314	AKR1C3, NADH, NDUFB9, covid-19	3
CATSPER1	-0.045924505071437	CATSPER1, TRAF2, TBK1, covid-19	3
S100A9	0.06486432183615622	S100A9, AAR2, covid-19	2
POLE3	0.05863855724264153	POLE3, POLA1, covid-19	2
AQP1	-0.20677961556631075	AQP1, PICK1, QSOX2, covid-19	3
MAPK9	-0.10028042223095472	MAPK9, CSNK2A2, covid-19	2
NR1H2	-0.018925814947266834	NR1H2, GRB2, AP2A2, covid-19	3
SLC1A1	0.039562604164756224	SLC1A1, DNAJC19, covid-19	2
IGHM	0.3598841131805226	IGHM, APP, EIF4E2, covid-19	3
PRDX1	0.06356212836344448	PRDX1, AAR2, covid-19	2
HIF1A	-0.03238805532381267	HIF1A, HDAC2, covid-19	2
CLK3	-0.00602537763190332	CLK3, LARP1, covid-19	2
RIPK2	0.15296915721543353	RIPK2, RIPK1, covid-19	2
CDK4	-0.09123662910668282	CDK4, CEP135, covid-19	2
PLK4	0.05998572502978497	PLK4, CDK5RAP2, covid-19	2
NDUFA5	-0.04837249525523654	NDUFA5, NDUFB9, covid-19	2
SNAP25	0.06596619404112739	SNAP25, PRKACA, covid-19	2
GLUL	-0.017240739752066123	GLUL, PLEKHF2, covid-19	2
MARK3	0.08553921295290064	MARK3, covid-19	1
CKB	0.026640714103385713	CKB, CNTRL, covid-19	2
NDUFB9	0.029404179884842487	NDUFB9, covid-19	1
NPPB	-0.10279085855717428	NPPB, PSMA3, HDAC2, covid-19	3
KRT6A	0.07008327935163415	KRT6A, AAR2, covid-19	2
OGDH	-0.07322959998996556	OGDH, EXOSC5, covid-19	2
FBP1	-0.015386407758102759	FBP1, ALDOA, CUL2, covid-19	3
RXRG	-0.10515754103492866	RXRG, CREBBP, CSNK2A2, covid-19	3
FTH1	-0.03891473050993571	FTH1, CSNK2B, covid-19	2
GSTZ1	-0.09184341060048036	GSTZ1, Glutathione, GPX1, covid-19	3
PKN1	-0.10872870332220674	PKN1, AKAP9, covid-19	2
HPRT1	-0.11093042328731799	HPRT1, AAR2, covid-19	2
NDUFV1	0.007416586265380332	NDUFV1, NDUFB9, covid-19	2
DNPEP	0.0914044836445336	DNPEP, PLOD2, covid-19	2
RXRB	-0.04303898387681146	RXRB, EXOSC8, covid-19	2
NADSYN1	-0.015445729087668772	NADSYN1, UPF1, covid-19	2
GCSH	-0.039827252086576934	GCSH, ZBTB16, HDAC2, covid-19	3
TINAGL1	0.24469753852333223	TINAGL1, LARP7, covid-19	2
DDAH2	0.017508423927338923	DDAH2, ATP1B1, covid-19	2
GPX7	-0.0871589309745017	GPX7, RIPK1, covid-19	2
SULT2B1	-0.27858916543045464	SULT2B1, Dehydroepiandrosterone, SIGMAR1, covid-19	3
SLC22A6	0.08519832499859807	SLC22A6, APP, EIF4E2, covid-19	3
CLK2	0.039047865911606784	CLK2, PABPC1, covid-19	2
SORD	0.050465965910191285	SORD, ETFA, covid-19	2
AHSP	0.028907974668251547	AHSP, FKBP1A, AAR2, covid-19	3
SLC25A10	0.03575728196091708	SLC25A10, AAR2, covid-19	2
ASPA	-0.032122661522009974	ASPA, ACY3, PLEKHF2, covid-19	3
PPP3CA	-0.03792618081464144	PPP3CA, MAT2B, covid-19	2
ABCC9	0.19736832545030722	ABCC9, STX1A, VPS11, covid-19	3
NFKBIA	-0.095503984707215	NFKBIA, HDAC2, covid-19	2
KEAP1	-0.13483001399184802	KEAP1, CEP135, covid-19	2
PPIA	-0.012099973376761122	PPIA, AAR2, covid-19	2
TRPV5	-0.0039356017019429555	TRPV5, GFER, covid-19	2
PDGFRB	-0.1128800311547675	PDGFRB, MFGE8, covid-19	2
NQO2	-0.049019814960873924	NQO2, CENPF, covid-19	2
GAK	0.028884413270435838	GAK, AP2A2, covid-19	2
CTDSP1	-0.0973914278597299	CTDSP1, TIMM10, covid-19	2
MATK	-0.05370846234297852	MATK, fostamatinib, RIPK1, covid-19	3
NDUFAB1	-0.03954141929023457	NDUFAB1, NDUFB9, covid-19	2
AGXT	-0.09782676473346877	AGXT, GRB2, AP2A2, covid-19	3
KCNMB1	0.03410353345364006	KCNMB1, EWSR1, AKAP8, covid-19	3
PLK3	-0.06004135126605517	PLK3, fostamatinib, RIPK1, covid-19	3
PHYKPL	-0.0678174744538717	PHYKPL, HNRNPL, UBAP2L, covid-19	3
TTR	-0.039849506734453935	TTR, MARK3, covid-19	2
RENBP	0.05189790495094952	RENBP, NAGK, TCF12, covid-19	3
TUBA3C	0.030301126313115843	TUBA3C, RIPK1, covid-19	2
ALDH1A1	-0.17624098213663175	ALDH1A1, NADH, NDUFB9, covid-19	3
S100A2	-0.020736382841763407	S100A2, GDNF, CSNK2A2, covid-19	3
BHMT	-0.06758779411915902	BHMT, CBS, AAR2, covid-19	3
S100B	0.10704069234820401	S100B, FGFR1, FAM8A1, covid-19	3
IMPA1	-0.12208524925592384	IMPA1, APPBP2, CUL2, covid-19	3
S100A4	-0.11237509702506861	S100A4, CNTRL, covid-19	2
GSTA4	-0.08910002161489826	GSTA4, PRKACA, covid-19	2
ITGA2B	-0.06715805032190814	ITGA2B, PRKACA, covid-19	2
MAPT	-0.020115142828323412	MAPT, CSNK2A2, covid-19	2
GLRX	-0.047895101552452496	GLRX, SCCPDH, covid-19	2
NCF1	0.019712890855000192	NCF1, PRKACA, covid-19	2
PLAU	-0.15688371811286697	PLAU, PLAT, covid-19	2
SERPINE1	-0.06251813068243454	SERPINE1, PLAT, covid-19	2
FGF13	-0.0898731727821277	FGF13, CSNK2A2, covid-19	2
SDC2	-0.017216664077002168	SDC2, CSNK2A2, covid-19	2
PRKACA	0.1822283145833254	PRKACA, covid-19	1
PARP1	-0.012824643590649151	PARP1, POLA1, covid-19	2
JUN	-0.16899657687010566	JUN, CSNK2A2, covid-19	2
POLB	-0.013673110548496993	POLB, TLE1, covid-19	2
ERBB2	-0.08418380310412016	ERBB2, PRKACA, covid-19	2
ERBB3	0.011187573673494794	ERBB3, PRKACA, covid-19	2
PIK3R2	-0.1410902810081028	PIK3R2, GOLGA2, covid-19	2
HSP90AB1	0.10610206158801894	HSP90AB1, RIPK1, covid-19	2
RET	0.04253356660869256	RET, PRKACA, covid-19	2
EPHA5	-0.018872036612506526	EPHA5, fostamatinib, RIPK1, covid-19	3
HDAC1	0.08555560565431268	HDAC1, HDAC2, covid-19	2
HDAC4	0.04888943692178624	HDAC4, MARK3, covid-19	2
HDAC5	0.0484837515545697	HDAC5, CSNK2A2, covid-19	2
HDAC6	-0.02812683179126628	HDAC6, CSNK2A2, covid-19	2
A1BG	-0.018603698924237036	A1BG, CDKN1A, RAB1A, covid-19	3
SIK2	-0.0829035787603342	SIK2, CEP250, covid-19	2
CACNA1F	0.08978744153727408	CACNA1F, RNF123, RHOA, covid-19	3
TLK2	-0.04604024608146392	TLK2, fostamatinib, RIPK1, covid-19	3
IKBKE	-0.028873311780983603	IKBKE, RIPK1, covid-19	2
ROCK2	-0.06477833114048723	ROCK2, RDX, covid-19	2
PSMD1	-0.07877447081085447	PSMD1, EDEM3, covid-19	2
GSTK1	-0.06937790476579747	GSTK1, CISD3, covid-19	2
PI4KB	0.02846193140354987	PI4KB, fostamatinib, RIPK1, covid-19	3
RIOK3	0.0860303847003653	RIOK3, MOV10, covid-19	2
RPL3	-0.016667293480535444	RPL3, AAR2, covid-19	2
PFAS	-0.003548605916439275	PFAS, AAR2, covid-19	2
BRAF	0.010304732833436026	BRAF, PRKACA, covid-19	2
PRPF4B	0.02668836641677616	PRPF4B, CWC27, covid-19	2
ATIC	-0.12268907308531765	ATIC, NDUFAF1, covid-19	2
NOLC1	-0.07962095626036235	NOLC1, CSNK2A2, covid-19	2
CLASP1	0.03280706611044752	CLASP1, MARK3, covid-19	2
AKR1B1	-0.13593759122827104	AKR1B1, RDX, covid-19	2
PHB2	0.0021133385256408253	PHB2, HDAC2, covid-19	2
PAK4	0.10431768821562092	PAK4, G3BP1, covid-19	2
PYGM	-0.08217808279432005	PYGM, TLE3, covid-19	2
CLEC3B	-0.054101855183825265	CLEC3B, PLAT, covid-19	2
CAMK2A	-0.13338982957855064	CAMK2A, ITGB1, covid-19	2
CAMK2B	-0.1127485957480959	CAMK2B, NINL, covid-19	2
IMPDH2	0.05786256502092698	IMPDH2, covid-19	1
CAMK2D	-0.05732376314305515	CAMK2D, NIN, covid-19	2
PAK2	-0.0541628224814601	PAK2, CSDE1, covid-19	2
OAZ2	0.19086844553664511	OAZ2, SLC25A21, covid-19	2
MARK2	0.17289699904651687	MARK2, covid-19	1
COX4I1	-0.061164906903334954	COX4I1, ATP6V1A, covid-19	2
PGRMC1	-0.006485762456119374	PGRMC1, POR, covid-19	2
CHD1	-0.016528202788926163	CHD1, LARP7, covid-19	2
FABP4	0.002561820941016528	FABP4, INSR, RNF41, covid-19	3
PPP2CB	-0.08114339623882456	PPP2CB, POLA1, covid-19	2
LTA4H	-0.10779695413409046	LTA4H, ALDOA, CUL2, covid-19	3
MPG	0.033177886736067606	MPG, ETFA, covid-19	2
LTF	0.008655794399662985	LTF, CLU, HYOU1, covid-19	3
S100A8	0.049092393140902926	S100A8, TUBGCP3, covid-19	2
ULK1	0.002513116034378579	ULK1, G3BP1, covid-19	2
CYCS	-0.06091591258993502	CYCS, CYB5R3, covid-19	2
TUFM	0.0005297074344101441	TUFM, ATP6V1A, covid-19	2
KHSRP	-0.1258817506614211	KHSRP, AAR2, covid-19	2
CALR	-0.07481461161613223	CALR, PRKACA, covid-19	2
STK38L	-0.09595491068907681	STK38L, fostamatinib, RIPK1, covid-19	3
SPTLC1	-0.04405444429998224	SPTLC1, EGFR, PRKACA, covid-19	3
MTHFD1	-0.015413950278575762	MTHFD1, ACSL3, covid-19	2
SLC1A5	0.24137463638475493	SLC1A5, CYB5R3, covid-19	2
LCN1	-0.14605449956835845	LCN1, NTRK1, UBAP2L, covid-19	3
LYZ	-0.007477849250645069	LYZ, MCM2, AKAP8, covid-19	3
PARP3	-0.0050502123054776	PARP3, APP, EIF4E2, covid-19	3
FADS1	-0.03699935209491289	FADS1, ACSL3, covid-19	2
GSN	-0.043910791637858104	GSN, APP, EIF4E2, covid-19	3
CTSA	-0.0518343380981823	CTSA, BZW2, covid-19	2
SLC16A1	0.08262826929381603	SLC16A1, AAR2, covid-19	2
JAK1	-0.0710560137492847	JAK1, JAKMIP1, covid-19	2
PLOD2	0.06498074204487174	PLOD2, covid-19	1
MTR	-0.04380400763009621	MTR, MOV10, covid-19	2
COX5A	-0.05226494612822703	COX5A, RIPK1, covid-19	2
DCD	0.05518642475519632	DCD, AAR2, covid-19	2
HRNR	-0.06819336494979453	HRNR, CUL2, covid-19	2
KCTD12	0.002853962184999073	KCTD12, ERGIC1, covid-19	2
IGHA1	0.04841604726173186	IGHA1, FGA, PLAT, covid-19	3
HTR1B	-0.1164516364591033	HTR1B, amitriptyline, SIGMAR1, covid-19	3
MTHFD2	-0.12760834976953278	MTHFD2, GCC1, covid-19	2
POLD1	-0.08225574966933112	POLD1, POLA1, covid-19	2
NUAK1	-0.1025308749796932	NUAK1, MARK3, covid-19	2
SLC25A12	0.007962963382396347	SLC25A12, RHOA, covid-19	2
PDXDC1	-0.11930367345304499	PDXDC1, GIPC1, RNF41, covid-19	3
AURKA	0.07895923250354976	AURKA, HDAC2, covid-19	2
DHCR7	0.1246167889669894	DHCR7, MRPS27, covid-19	2
GOT2	0.04996493038621004	GOT2, MEPCE, covid-19	2
HTR1E	-0.08566295558510123	HTR1E, HSPA8, UPF1, covid-19	3
PTGS2	-0.16902714853880407	PTGS2, PTGES2, covid-19	2
APRT	-0.10770354356471548	APRT, AAR2, covid-19	2
RNASE3	0.06533933154837662	RNASE3, FYCO1, covid-19	2
PSMB3	-0.05656445963456669	PSMB3, LARP7, covid-19	2
APOD	-0.03380383053962652	APOD, CUL2, covid-19	2
SNRK	-0.073416699106907	SNRK, fostamatinib, RIPK1, covid-19	3
PSMA2	-0.057106535915738624	PSMA2, EXOSC2, covid-19	2
NDUFA9	-0.04737997474486736	NDUFA9, NDUFB9, covid-19	2
